category,funding
Kinect,2670000.0
Robotics,2670000.0
Software,2670000.0
3D Printing,530000.0
Retail,530000.0
Technology,530000.0
3D Printing,30000.0
3D Technology,30000.0
Printing,30000.0
Games,732064.0
Video,732064.0
Printing,3000.0
Creative,204952.0
Digital Media,204952.0
3D Printing,4247128.0
3D,220000.0
3D Printing,220000.0
Internet,220000.0
Manufacturing,220000.0
Biotechnology,7436500.0
3D,2065000.0
Mobile,2065000.0
Finance,140000.0
Software,140000.0
Venture Capital,140000.0
Curated Web,475000.0
Automated Kiosk,1387500.0
Brand Marketing,1387500.0
Custom Retail,1387500.0
Retail,1387500.0
Travel,1387500.0
Android,1700000.0
B2B,1700000.0
Brand Marketing,1700000.0
iPhone,1700000.0
Mobile,1700000.0
Music,1700000.0
Video Streaming,1700000.0
Software,2249999.0
Music,20000000.0
Mobile,746185.0
Semiconductors,13708150.0
Messaging,4000000.0
SMS,4000000.0
Web Hosting,65000000.0
Android,1500000.0
Enterprises,1500000.0
Mobile,1500000.0
iOS,500000.0
Location Based Services,500000.0
Mobile,500000.0
Online Dating,500000.0
Social Media,500000.0
Biotechnology,4783500.0
Pharmaceuticals,4783500.0
Cloud Data Services,148000000.0
Services,148000000.0
Software,148000000.0
Consulting,25920000.0
Software,25920000.0
Software,1011601.0
Curated Web,1500000.0
Clean Technology,50000000.0
Curated Web,1500000.0
Tourism,1500000.0
Travel,1500000.0
Game,1000000.0
Mobile,1394250.0
Developer APIs,5000000.0
Enterprise Software,5000000.0
Infrastructure,5000000.0
Services,5000000.0
Software,5000000.0
Biotechnology,7063012.0
App Marketing,2000000.0
Software,2000000.0
Physical Security,13000000.0
Security,13000000.0
Manufacturing,13780000.0
Clean Technology,15152514.0
Software,1670000.0
Clean Technology,15000000.0
Software,272000.0
Coupons,50958896.61
Online Shopping,50958896.61
Payments,50958896.61
Retail Technology,50958896.61
Security,64567194.0
Databases,26000000.0
Electronics,26000000.0
Storage,26000000.0
Flash Storage,3393925.0
Security,3393925.0
Games,163934.0
Video,163934.0
Design,100000000.0
Game,100000000.0
Mobile Games,100000000.0
E-Commerce,2374979.0
Networking,1000.0
Web Hosting,1000.0
Creative Industries,228187.7833
Entertainment,228187.7833
Television,228187.7833
Enterprise Software,6246800.0
Machine Learning,81000.0
Network Security,81000.0
Crowdfunding,1050000.0
Entrepreneur,1050000.0
Finance,1050000.0
FinTech,1050000.0
Networking,1050000.0
Peer-to-Peer,1050000.0
Social Media,1050000.0
Venture Capital,1050000.0
Messaging,750000.0
Security,38064570.0
Software,1000000.0
Software,1000000.0
Commercial Real Estate,17400000.0
Real Estate,17400000.0
Web Hosting,2258720.0
Online Travel,500000.0
Sports,500000.0
Travel,500000.0
Creative,450000.0
Creative Industries,450000.0
Databases,450000.0
Internet,485841.2451
Telecommunications,485841.2451
Biotechnology,49656999.0
Entertainment,450000.0
Games,450000.0
Clean Technology,20900.0
Clean Technology,1160000.0
Enterprise Software,1160000.0
Biotechnology,6999995.0
Biotechnology,500000.0
Mobile,3378975.0
Anything Capital Intensive,22000.0
Investment Management,22000.0
Venture Capital,22000.0
Automotive,9416354.0
Clean Energy,9416354.0
Cloud Computing,9416354.0
Internet,9416354.0
Software,9416354.0
Wireless,9416354.0
Ad Targeting,320288000.0
Big Data Analytics,320288000.0
Mobile Advertising,320288000.0
E-Commerce,1000000.0
Marketplaces,1000000.0
E-Commerce,500000.0
Hardware + Software,60000000.0
Games,892898.0
Cloud Computing,6500000.0
Messaging,6500000.0
Telephony,6500000.0
Unifed Communications,6500000.0
Games,100000.0
Mobile,10000000.0
Human Resources,10511317.0
Recruiting,10511317.0
Social Recruiting,10511317.0
Apps,50000.0
Education,50000.0
Kids,50000.0
Religion,50000.0
Biotechnology,7000000.0
Advertising,1121078.0
Software,1121078.0
Office Space,3607956.0
Real Estate,50000.0
Retail,50000.0
Service Providers,50000.0
Pets,762500.0
Aerospace,95445.0
Curated Web,385980.0
Software,250000.0
Internet,15000.0
Mobile,15000.0
Games,3500000.0
Software,740000.0
Consumer Electronics,180000.0
Mobile Devices,180000.0
Online Shopping,2013000.0
Services,2013000.0
E-Commerce,12900000.0
Enterprise Software,12900000.0
Loyalty Programs,12900000.0
Social Media,12900000.0
Distribution,100000.0
Film Distribution,100000.0
Marketplaces,100000.0
Media,100000.0
Apps,22325000.0
Internet,22325000.0
Photography,22325000.0
Promotional,22325000.0
Sales and Marketing,22325000.0
E-Commerce,5000.0
Online Shopping,5000.0
Software,5000.0
Automotive,4500000.0
Software,27000000.0
Real Estate,2928257.0
E-Commerce,9300000.0
Finance,10000000.0
E-Commerce,1158814.0
Curated Web,10000000.0
Education,65100000.0
Games,1500000.0
Internet,65000000.0
Games,1000000.0
Art,234705.0
Creative,234705.0
Creative Industries,234705.0
Software,3000000.0
E-Commerce,200000000.0
Photography,30000000.0
Curated Web,876780000.0
Internet,876780000.0
Software,876780000.0
Consumer Internet,300000000.0
Curated Web,10000000.0
Advertising,27428.62158
Lead Management,27428.62158
Sales and Marketing,27428.62158
Mobile,5100000.0
Software,5100000.0
Web Design,5100000.0
Web Development,5100000.0
Mobile,6100000.0
Technology,6100000.0
Wireless,6100000.0
3D,12500.0
Digital Media,12500.0
Graphics,12500.0
Printing,12500.0
Food Processing,1848664.0
Services,1848664.0
Music,368750.0
Ticketing,368750.0
Web Development,368750.0
Healthcare Services,5955000.0
Life Sciences,5955000.0
Medical,5955000.0
Software,8000000.0
Education,12800000.0
Games,12800000.0
Video,12800000.0
Art,15873.0
Curated Web,15873.0
Photography,15873.0
Social Media,15873.0
Software,50000.0
Games,3987693.0
Sales and Marketing,30000.0
Social Media,30000.0
Advertising,250000.0
Digital Media,250000.0
Distribution,250000.0
Social Media,250000.0
Mobile,7000000.0
Games,3000000.0
Mobile,3000000.0
Mobile Games,3000000.0
Online Gaming,3000000.0
Advertising,17129760.0
Internet,17129760.0
Internet Marketing,17129760.0
Accounting,1300000.0
Business Development,1300000.0
Finance,1300000.0
Software,1300000.0
Web Development,1300000.0
Browser Extensions,100000.0
Curated Web,100000.0
Social Media,100000.0
Software,3050000.0
Web Hosting,3019139.0
Information Services,100000.0
Information Technology,100000.0
Internet Marketing,100000.0
SEO,100000.0
Services,11052498.0
Enterprise Software,37143865.0
Concentrated Solar Power,5714285.714
Manufacturing,5714285.714
Solar,5714285.714
Mobile,1000000.0
Photography,30500000.0
B2B,32000000.0
Predictive Analytics,32000000.0
Sales and Marketing,32000000.0
Health and Wellness,8000000.0
Specialty Foods,8000000.0
Finance,3134880.0
Software,6700000.0
Nanotechnology,2569720.0
Social Network Media,1556687.0
Android,23857750.0
Apps,23857750.0
Cloud Computing,23857750.0
Collaboration,23857750.0
Email,23857750.0
Finance,23857750.0
Home & Garden,23857750.0
Internet,23857750.0
iOS,23857750.0
iPad,23857750.0
iPhone,23857750.0
Mac,23857750.0
Productivity Software,23857750.0
Software,23857750.0
Synchronization,23857750.0
Task Management,23857750.0
Web Development,23857750.0
Analytics,6528902.0
E-Commerce,6528902.0
Software,6528902.0
Enterprise Software,295000.0
Development Platforms,150000.0
Games,150000.0
Online Gaming,150000.0
Biotechnology,1613014.0
Games,10000000.0
Bicycles,15000000.0
Communities,15000000.0
Analytics,2450000.0
Network Security,2450000.0
Shipping,2450000.0
Small and Medium Businesses,2450000.0
Startups,2450000.0
Analytics,190035.0
Health and Wellness,190035.0
Predictive Analytics,190035.0
E-Commerce,3107198.0
Advertising,1500000.0
Consumers,1500000.0
E-Commerce,1500000.0
Mobile Commerce,1500000.0
Retail,1500000.0
SaaS,1500000.0
Software,1500000.0
Curated Web,650000.0
Technology,2875000.0
Manufacturing,1500000.0
Clean Technology,16036000.0
Social Media,47570.0
Content Creators,20068328.45
Content Delivery,20068328.45
Licensing,20068328.45
Music,20068328.45
Music Services,20068328.45
Technology,20068328.45
Broadcasting,120000.0
Business Services,120000.0
Training,120000.0
Games,1136548.0
Software,1017470.0
Analytics,3000000.0
B2B,3000000.0
Big Data,3000000.0
Business Intelligence,3000000.0
Enterprises,3000000.0
Enterprise Software,3000000.0
Finance,3000000.0
Mobile,3000000.0
SaaS,3000000.0
Web Hosting,9850000.0
Brand Marketing,600000.0
Communities,600000.0
Consulting,600000.0
Semantic Search,600000.0
SEO,600000.0
Biotechnology,22000000.0
Diabetes,22000000.0
Therapeutics,22000000.0
Publishing,269260.0
Apps,500000.0
Design,4500000.0
Internet,4500000.0
Shared Services,4500000.0
Finance Technology,17000000.0
FinTech,17000000.0
Mobile,17000000.0
Personal Finance,17000000.0
Technology,17000000.0
Wealth Management,17000000.0
Advertising,2100000.0
Email,2100000.0
Loyalty Programs,2100000.0
Mobile,2100000.0
SaaS,2100000.0
Sales and Marketing,2100000.0
Social Media,2100000.0
Software,2100000.0
Home Decor,25000.0
Interior Design,25000.0
Internet,25000.0
Services,77000000.0
E-Commerce,100000.0
Crowdsourcing,25000.0
Design,25000.0
Graphics,25000.0
Health and Wellness,5100000.0
Digital Entertainment,27000000.0
Entertainment,27000000.0
Sports,27000000.0
Beauty,400000.0
Fashion,400000.0
Service Providers,400000.0
Entertainment,55398.0
Games,55398.0
Media,55398.0
Advertising,140000.0
Content Discovery,140000.0
Games,12250000.0
Virtual Worlds,12250000.0
Exercise,2730000.0
Fitness,2730000.0
Tracking,2730000.0
Messaging,1500000.0
Public Relations,1500000.0
Social Media,1500000.0
3D,14481680.93
Clean Technology,30000000.0
Sports,79501.0
Technology,79501.0
Music,5279980.0
Travel,24600000.0
Analytics,150000.0
Apps,150000.0
Big Data,150000.0
E-Commerce,150000.0
Education,150000.0
Enterprise Software,150000.0
Internet of Things,150000.0
Media,150000.0
Mobile,150000.0
Payments,150000.0
SaaS,150000.0
Social Media,150000.0
Contact Centers,126000000.0
Telecommunications,126000000.0
Unifed Communications,126000000.0
Video Conferencing,126000000.0
Consulting,4500000.0
Manufacturing,29300000.0
Apps,1292301.0
Publishing,1292301.0
Social Media,1292301.0
Social Media Marketing,1292301.0
Media,38800000.0
News,38800000.0
Publishing,38800000.0
Soccer,38800000.0
Sports,38800000.0
Apps,100000.0
Consumer Electronics,100000.0
Mobile,100000.0
Social Media,100000.0
Television,100000.0
Weddings,100000.0
Mobile,20000000.0
Mobile,317460.0
Mobile,30000000.0
Food Processing,3000000.0
Social Media,4502251.0
Application Platforms,9000000.0
Development Platforms,9000000.0
Mass Customization,9000000.0
Finance,63590263.0
Curated Web,19790000.0
Finance,19790000.0
Mobile,1000000.0
Mobile,10450000.0
Publishing,10450000.0
Local Businesses,2160000.0
Finance,1380700.0
E-Commerce,83574271.0
Payments,83574271.0
E-Commerce Platforms,500000.0
Manufacturing,500000.0
Material Science,500000.0
Crowdsourcing,45000000.0
Design,45000000.0
Marketplaces,45000000.0
Online Shopping,45000000.0
Fashion,105651.0
File Sharing,105651.0
E-Commerce,100000.0
Trading,100000.0
Video Games,100000.0
Automotive,75000000.0
Apps,442943.0
Logistics,442943.0
Postal and Courier Services,442943.0
E-Commerce,20000.0
Social Commerce,20000.0
Manufacturing,7575757.0
Android,25000000.0
iOS,25000000.0
Mobile,25000000.0
Mobile Payments,25000000.0
SaaS,25000000.0
Taxis,25000000.0
Software,210000.0
Automotive,80000.0
Cars,80000.0
E-Commerce,80000.0
E-Commerce,9600000.0
SEO,70000.0
Social Media,70000.0
Advertising,1432051.0
Social Media,2800000.0
Business Analytics,7200000.0
Enterprise Software,7200000.0
SaaS,7200000.0
Software,7200000.0
Software,900000.0
Technology,900000.0
Photography,10000000.0
Video,10000000.0
Enterprises,925000.0
Enterprise Software,925000.0
iPad,925000.0
Presentations,925000.0
SaaS,925000.0
Training,925000.0
Software,435400.0
Games,100000000.0
Virtual Worlds,100000000.0
Digital Media,3500000.0
News,3500000.0
Social Media,3500000.0
Chemicals,2500000.0
Innovation Engineering,110000000.0
Manufacturing,110000000.0
Water Purification,110000000.0
Games,10312103.0
Social Games,10312103.0
Limousines,45000.0
Games,560248.0
E-Commerce,50000.0
Health and Wellness,6000000.0
Health Care,6000000.0
Healthcare Services,6000000.0
Medical,6000000.0
Technology,6000000.0
Media,1090000.0
News,1090000.0
Photo Sharing,1090000.0
Video,1090000.0
Health and Wellness,500000.0
Biotechnology,2100002.0
Clean Technology,115837966.0
Security,1500000.0
Consumer Goods,5000000.0
Manufacturing,5000000.0
New Product Development,5000000.0
Mobile,14300000.0
Biotechnology,3000000.0
Games,9300000.0
Charity,50000.0
Financial Services,50000.0
Medical,50000.0
Finance,6410000.0
Audio,60000000.0
Technology,60000000.0
Wireless,60000000.0
Biotechnology,32142818.0
Internet,15999994.0
Clean Technology,10200000.0
Networking,15000.0
Sensors,15000.0
Software,15000.0
Wireless,15000.0
Pets,569355.0
Video,42183.0
Coupons,2500.0
Social Commerce,2500.0
Health and Wellness,250000.0
Android,20000.0
Business Productivity,20000.0
CRM,20000.0
iOS,20000.0
iPad,20000.0
iPhone,20000.0
Mobile,20000.0
Point of Sale,20000.0
Productivity Software,20000.0
Cloud Computing,118000000.0
Communications Hardware,118000000.0
Hardware,118000000.0
Networking,118000000.0
Optimization,118000000.0
Security,118000000.0
SEO,118000000.0
Technology,118000000.0
Virtualization,118000000.0
Web Hosting,118000000.0
Batteries,502860000.0
Clean Technology,502860000.0
Energy Storage,502860000.0
Mobile,502860000.0
Online Rental,500000.0
Online Reservations,500000.0
Transportation,500000.0
3D,25000000.0
Advertising,25000000.0
Content,25000000.0
Content Creators,25000000.0
Content Delivery,25000000.0
Mobile,25000000.0
Music,50000000.0
Curated Web,1623640.0
Mobile,16474.0
Biotechnology,20000000.0
Finance,160000.0
Venture Capital,160000.0
Music,350000.0
Social Network Media,350000.0
Biotechnology,500000.0
Search,6000000.0
Application Platforms,14000000.0
Communications Infrastructure,14000000.0
Storage,14000000.0
Consulting,3100000.0
Recruiting,3100000.0
Human Resources,20000000.0
Biotechnology,40000000.0
Telecommunications,180000000.0
Social Media,442457.0
Mobile,4260000.0
Health Care Information Technology,12000000.0
Medical,12000000.0
Therapeutics,12000000.0
Service Providers,4845819.0
Software,4845819.0
Finance,4900000.0
Advertising,1412834.0
Analytics,1412834.0
E-Commerce,1412834.0
Optimization,1412834.0
Testing,1412834.0
EdTech,3356695.0
Education,3356695.0
Analytics,500000.0
Software,3409315.0
SaaS,3500000.0
Software,3500000.0
Digital Media,41250.0
Sales and Marketing,41250.0
Social Media,41250.0
Clean Technology,4211031.0
Advertising,825000.0
Advertising Platforms,825000.0
Optimization,825000.0
Software,825000.0
Music,263400.0
Video Editing,263400.0
Web Development,263400.0
Finance,720000.0
Finance Technology,720000.0
Financial Services,720000.0
FinTech,720000.0
Insurance,720000.0
Personal Finance,720000.0
Software,720000.0
Oil & Gas,24750000.0
Biotechnology,400988.0
Software,1770000.0
Software,4540000.0
Curated Web,4400000.0
Automotive,2700000.0
Clean Technology,2700000.0
Energy,2700000.0
Technology,2700000.0
Audiobooks,600000.0
Bridging Online and Offline,600000.0
E-Books,600000.0
Finance,3355282.0
Investment Management,3355282.0
Pharmaceuticals,3355282.0
E-Commerce,875000.0
Fashion,875000.0
Women,875000.0
Apps,900000.0
Social Network Media,900000.0
Biotechnology,6790000.0
Health and Wellness,6790000.0
Medical,6790000.0
Venture Capital,6790000.0
Communications Infrastructure,6000000.0
Data Visualization,6000000.0
Software,6000000.0
Business Services,375000.0
Advertising,25000.0
Real Estate,20000.0
Biotechnology,78799653.0
Events,78799653.0
B2B,147000.0
Marketplaces,147000.0
Services,147000.0
Social Media,147000.0
Biotechnology,2000000.0
Biotechnology,805908.0
Biotechnology,10207905.0
Fashion,90000.0
Health Care,2012700.0
Biotechnology,12850000.0
E-Commerce,19148000.0
Biotechnology,39610000.0
Biotechnology,2250180.0
Doctors,1833333.0
Health Care,1833333.0
Health Diagnostics,1833333.0
Fashion,60000.0
Health Care,1500000.0
Health Care,583000000.0
Curated Web,21000000.0
Health and Wellness,21000000.0
Health Care,21000000.0
Internet,21000000.0
Medical,21000000.0
Psychology,21000000.0
Teachers,21000000.0
Technology,21000000.0
Therapeutics,21000000.0
VoIP,21000000.0
Web Development,21000000.0
Employment,30000.0
Marketplaces,30000.0
Services,30000.0
Curated Web,6467283.0
Privacy,6467283.0
Health Care,12853396.0
Health Diagnostics,12853396.0
Biotechnology,50000.0
Robotics,50000.0
Technology,50000.0
Biotechnology,3986362.0
Medical,3986362.0
Nanotechnology,3986362.0
Cloud Computing,26898770.0
Cloud Infrastructure,26898770.0
Cloud Management,26898770.0
M2M,26898770.0
Open Source,26898770.0
Software,26898770.0
Virtualization,26898770.0
Web Hosting,26898770.0
Accounting,500000.0
Consulting,500000.0
CRM,500000.0
Marketing Automation,500000.0
Project Management,500000.0
Sales and Marketing,150000.0
Innovation Engineering,21800000.0
Medical,21800000.0
Medical Devices,21800000.0
Biotechnology,42980577.0
Collaboration,17500000.0
Credit,17500000.0
Curated Web,17500000.0
Entrepreneur,17500000.0
Finance,17500000.0
FinTech,17500000.0
Small and Medium Businesses,17500000.0
M2M,50000.0
Software,50000.0
Health and Wellness,500000.0
Hardware + Software,12005448.0
Software,1273000.0
